Date,Time,Source,Street,Tags,Link
27 ottobre 2018,09:22,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/video/motorini-pirata-loreto.html
27 ottobre 2018,09:13,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/scooter-loreto-pirata-strada.html
27 ottobre 2018,09:10,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/video/pirata-strada-viale-monza-stanotte.html
27 ottobre 2018,08:33,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/viale-monza-pirata-stanotte.html
25 ottobre 2018,09:20,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/video/fulvio-testi-cinisello.html
25 ottobre 2018,09:14,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/viale-fulvio-testi-.html
25 ottobre 2018,08:53,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/camion-auto-fulvio-testi-cinisello.html
16 ottobre 2018,16:27,MilanoToday,Viale Monza,arresti,https://www.milanotoday.it/cronaca/omicidio/omicidio-trans-viale-testi--.html
14 ottobre 2018,17:41,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/ubriaco-viale-lombardia-brugherio.html
14 ottobre 2018,08:09,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/besana-brianza-stanotte.html
28 settembre 2018,17:09,MilanoToday,Viale Monza,"arresti,aggressioni",https://www.milanotoday.it/zone/loreto/precotto/accoltellato-metro-pasteur-arresto.html
28 settembre 2018,15:01,MilanoToday,Viale Monza,"arresti,aggressioni",https://www.milanotoday.it/video/spacciatore-accoltella-metro-.html
25 settembre 2018,17:50,MilanoToday,Viale Monza,rapine,https://www.milanotoday.it/zone/loreto/viale-monza-rapina-compro-oro.html
22 settembre 2018,08:43,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/morto-cogliate-venerdi-21-settembre.html
21 settembre 2018,12:15,MilanoToday,Viale Monza,morti,https://www.milanotoday.it/cronaca/incidente-stradale/emiliana-colitto-marco-forlano.html
21 settembre 2018,07:59,MilanoToday,Viale Monza,incidenti-stradali,https://www.milanotoday.it/cronaca/incidente-stradale/bezzi-morti-moto-smart.html
21 agosto 2018,17:39,MilanoToday,Viale Monza,aggressioni,https://www.milanotoday.it/cronaca/accoltellato-metro-pasteur.html
13 luglio 2018,15:20,MilanoToday,Viale Monza,aggressioni,https://www.milanotoday.it/cronaca/picchia-ex-fidanzata-parcheggio-supermercato.html
05 luglio 2018,11:23,MilanoToday,Viale Monza,arresti,https://www.milanotoday.it/cronaca/arresto-prostituta-16-anni-vodoo.html
29 giugno 2018,12:58,MilanoToday,Viale Monza,arresti,https://www.milanotoday.it/cronaca/arrestato-francesco-lucci-.html
27 giugno 2018,16:50,MilanoToday,Viale Monza,incidenti,https://www.milanotoday.it/cronaca/incidente-stradale/via-ascanio-sforza-viale-tibaldi--.html
